Enrollment Profile,Social Mobility Rank,US News Ranking ,City,State,Year Established,enrollment,Public or Private,acceptance rate (%),Name of university ,R&D Expenditure ($000) in 2022,R&D Expenditure ($000) in 2021,Urban (1) /Suburban -rural  (0),Medical School (1),Law School (1),Campus size in acres,Population of the city,Population of state
High undergraduate,176,139,Corvallis,OR,,35000,Public,82.5,Oregon State University,297934,276955,1,0,0,422,60956,4.24 million 
Majority undergraduate,186,1,Princeton,NJ,,5604,Private,6,Princeton University,461185,404448,0,0,1,690,30377,9.262 million
High undergraduate,270,57,West Lafayette,IN,,37949,Public,53,Purdue University,754627,679482,1,1,1,2468,45060,6.833 million
High undergraduate,270,50,Troy,NY,,5895,Private,64.5,Rensselaer Polytechnic Institute,121809,119056,0,0,0,296,50895,19.68 million
Majority undergraduate,204,17,Houston,TX,,4494,Private,9,Rice University,216202,207404,1,0,0,300,2.303 million ,30.03 million 
High undergraduate,59,62,New Brunswick,NJ,,36344,Public,66.3,Rutgers University-New Brunswick,712231,643955,1,1,1,2656,55998,9.262 million
Majority graduate,241,6,Stanford,CA,,8049,Private,3.7,Stanford University,1384555,1274483,0,1,1,8180,17255,39.03 million
Majority undergraduate,24,91,Stony Brook,NY,,17509,Public,49.1,Stony Brook University,312698,274516,0,1,0,1454,12501,19.68 million
High undergraduate,27,147,Albany,NY,,12264,Public,67.9,University of Albany - SUNY,129796,114501,0,1,1,610,100826,19.68 million
Majority undergraduate,90,54,Syracuse,NY,,12264,Private,52,Syracuse University,157407,151717,1,0,1,721,144451,19.68 million
High undergraduate,105,104,Philadelphia,PA,,24106,Public,80,Temple University,301395,299778,1,1,1,406,1.567 million,12.97 million
High undergraduate,96,70,College Station,TX,,74829,Public,62.6,Texas A & M University,1152666,1147720,1,1,1,5200,124319,30.03 million 
High undergraduate,291,218,Lubbock,TX,,32579,Public,67.3,Texas Tech University,226729,197739,1,1,1,1839,263930,30.03 million 
High undergraduate,348,57,University Park,PA,,41745,Public,55.2,Pennsylvania State University,1019940,970544,0,1,1,7958,40745,12.97 million
High undergraduate,147,166,Tuscaloosa,AL,,38645,Public,80.1,University of Alabama ,163204,129509,0,0,1,1143,110602,5.074 million 
High undergraduate,165,254,Missoula,MT,,7215,Public,95,University of Montana,125603,121571,1,0,1,220,76955,1.123 million
High undergraduate,138,104,Knoxville,TN,,27039,Public,68.4,University of Tennessee-Knoxville,324435,316273,1,1,1,910,195889,7.051 million
High undergraduate,20,236,Arlington,TX,,30791,Public,81,University of Texas at Arlington,133770,126477,1,0,0,420,394602,30.03 million
High undergraduate,134,48,Austin,TX,,52384,Public,31.4,The University of Texas at Austin,845896,779348,1,1,1,431,974447,30.03 million
High undergraduate,56,147,Richardson,TX,,21617,Public,87,University of Texas at Dallas,130914,122825,0,0,0,500,118802,30.03 million
High undergraduate,80,304,El Paso,TX,,20165,Public,99.9,University of Texas at El Paso,130501,109410,1,0,0,421,677456,30.03 million 
High undergraduate,62,280,San Antonio,TX,,29654,Public,86.9,University of Texas at San Antonio,147629,145362,1,1,0,758,1.473 million ,30.03 million 
Majority undergraduate,328,29,Medford,MA,,6815,Private,9.7,Tufts University,231224,224956,0,1,1,150,65399,6.982 million 
Majority undergraduate,365,40,New Orleans,LA,,7350,Private,11.5,Tulane University of Louisiana,222605,205206,1,1,1,110,369749,4.59 million 
Majority undergraduate,66,79,Buffalo,NY,,20761,Public,67.7,University at Buffalo,439709,425349,0,1,1,1350,276486,19.68 million 
Majority undergraduate,147,166,Birmingham,AL,,13032,Public,86.7,University of Alabama at Birmingham,713480,644330,1,1,0,437,196910,5.074 million
High undergraduate,315,263,Huntsville,AL,,7169,Public,78.1,University of Alabama in Huntsville,169532,149792,0,1,0,432,221933,5.074 million 
High undergraduate,70,117,Tucson,AZ,,40407,Public,86.8,University of Arizona,824340,770031,1,1,1,392,546574,7.359 million 
High undergraduate,370,153,Fayetteville,AR,,"32, 140",Public,78.9,University of Arkansas,184080,164443,1,1,1,250,99285,3.046 million 
Majority undergraduate,70,22,Berkeley,CA,,32831,Public,11.3,University of California-Berkeley,981035,846872,1,0,1,1232,118950,39.03 million 
High undergraduate,9,39,Davis,CA,,31532,Public,37.3,University of California-Davis,883807,817409,0,1,1,5300,67048,39.03 million 
High undergraduate,3,36,Irvine,CA,,28661,Public,21.2,University of California-Irvine,534947,523752,0,1,1,1475,313685,39.03 million 
Majority undergraduate,13,20,Los Angeles,CA,,32423,Public,9,University of California-Los Angeles,1536197,1454880,1,1,1,419,3.822 million ,39.03 million 
High undergraduate,1,91,Riverside,CA,,22903,Public,68.7,University of California-Riverside,199135,189600,1,1,0,1200,320764,39.03 million 
High undergraduate,21,37,La Jolla,CA,,33096,Public,25,University of California-San Diego,1533357,1425499,1,1,0,1976,46781,39.03 million 
High undergraduate,9,34,Santa Barbara,CA,,23460,Public,29,University of California-Santa Barbara,278897,248961,0,0,0,989,87533,39.03 million 
High undergraduate,2,84,Santa Cruz,CA,,17502,Public,47,University of California-Santa Cruz,176760,160615,0,0,0,2000,61800,39.03 million 
High undergraduate,70,166,Orlando,FL,,68442,Public,41,University of Central Florida,221488,218596,1,1,0,1420,316081,22.24 million 
Majority graduate,335,6,Chicago,IL,,7470,Private,5.4,University of Chicago,591805,497651,1,1,1,217,2.665 million ,12.58 million 
High undergraduate,291,139,Cincinnati,OH,,47914,Public,86.2,University of Cincinnati,615070,551826,1,1,1,254,309513,11.76 million 
High undergraduate,359,104,Boulder,CO,,31103,Public,79,University of Colorado Boulder,611380,547724,1,0,1,600,"105, 485",5.84 million 
Majority undergraduate,90,254,Denver,CO,,14055,Public,74.6,University of Colorado Denver/Anschutz Medical Campus,611358,562855,1,1,0,126,"713, 252",5.84 million 
Majority undergraduate,265,64,Storrs,CT,,18983,Public,54.5,University of Connecticut,367557,302329,0,1,1,4076,17606,3.626 million 
High undergraduate,360,91,Newark,DE,,18883,Public,73.8,University of Delaware,368107,231532,0,0,0,1996,30453,1.018 million 
Majority undergraduate,270,97,Denver,CO,,6160,Private,77.7,University of Denver,45561,38751,1,0,1,125,713252,5.84 million 
Majority undergraduate,37,34,Gainesville,FL,,34552,Public,30.1,University of Florida,1085834,959965,1,1,1,2000,"145, 214",22.24 million 
High undergraduate,159,50,Athens,GA,,30714,Public,42.5,University of Georgia,545631,493944,1,1,1,767,128561,10.91 million 
High undergraduate,134,166,Honolulu,HI,,14198,Public,72.8,University of Hawaii at Manoa,277323,271768,1,1,1,320,343421,1.44 million 
High undergraduate,27,185,Houston,TX,,37943,Public,66.2,University of Houston,240126,202536,1,1,1,895,2.303 million ,30.03 million 
Majority undergraduate,14,132,Chicago,IL,,21807,Public,78.7,University of Illinois Chicago,440573,429585,1,1,1,244,2.665 million ,12.58 million 
Majority undergraduate,186,48,Champaign,IL,,35120,Public,43.7,University of Illinois Urbana-Champaign,765909,731268,1,1,1,1783,89241,12.58 million 
High undergraduate,335,84,Iowa City,IA,,21973,Public,86,University of Iowa,594215,553876,1,1,1,2122,75233,3.201 million 
Majority undergraduate,377,130,Lawrence,KS,,19241,Public,87.8,University of Kansas,405267,385637,1,1,1,1000,95794,2.937 million 
High undergraduate,345,132,Lexington,KY,,22735,Public,94.9,University of Kentucky,476517,429241,1,1,1,918,320347,4.512 million 
High undergraduate,254,345,Lafayette,LA,,12950,Public,74.6,University of Louisiana at Lafayette,205201,181400,0,0,0,1300,121389,4.59 million 
Majority undergraduate,165,192,Louisville,KY,,2931,Public,80,University of Louisville,229582,200362,1,1,1,287,624444,4.512 million 
High undergraduate,186,202,Orono,ME,,9774,Public,94,University of Maine,171931,146801,0,0,1,660,10679,1.385 million 
High undergraduate,204,166,Baltimore,MD,,10625,Public,80.6,University of Maryland-Baltimore County,110319,84418,1,1,1,530,"569, 931",6.165 million 
High undergraduate,322,64,College Park,MD,,30353,Public,44.6,University of Maryland-College Park,1228550,1142264,0,0,0,1340,34190,6.165 million 
High undergraduate,186,64,Amherst,MA,,24391,Public,63.5,University of Massachusetts-Amherst,245158,213824,0,0,0,1463,37819,6.982 million 
High undergraduate,138,272,Memphis,TN,,16708,Public,94.6,University of Memphis,71271,67092,1,0,1,1600,621056,7.051 million 
Majority undergraduate,270,57,Coral Gables,FL,,12504,Private,18.9,University of Miami,439300,375841,0,1,1,239,49193,30.03 million
Majority undergraduate,291,25,Ann Arbor,MI,,32695,Public,17.7,University of Michigan,1770708,1639645,1,1,1,3207,119875,10.03 million 
Majority undergraduate,251,70,Minneapolis,MN,,39248,Public,74.9,University of Minnesota-Twin Cities,1202084,1072961,1,1,0,1204,"425, 096",5.717 million
High undergraduate,354,162,University,MS,,17302,Public,97.4,University of Mississippi,152903,116175,0,1,1,3693,4480,2.94 million 
High undergraduate,354,139,Columbia,MO,,23752,Public,79.1,University of Missouri-Columbia,432310,388779,1,1,1,1262,128555,6.178 million 
High undergraduate,303,139,Lincoln,NE,,19189,Public,78.6,University of Nebraska-Lincoln,340260,320758,1,0,1,861,292627,1.968 million 
High undergraduate,115,269,Las Vegas,NV,,25365,Public,85.3,University of Nevada-Las Vegas,94967,101009,1,1,1,358,656274,3.178 million 
High undergraduate,241,240,Reno,NV,,16973,Public,85.6,University of Nevada,181782,175386,1,1,0,200,273448,3.178 million 
High undergraduate,204,125,Durham,NH,,11480,Public,87,University of New Hampshire,206392,167373,0,0,1,2600,16574,1.395 million 
High undergraduate,62,218,Albuquerque,NM,,15914,Public,96.1,University of New Mexico,331164,332566,1,1,1,769,561008,2.113 million 
Majority undergraduate,165,29,Chapel Hill,NC,,20210,Public,17.1,University of North Carolina at Chapel Hill,1361028,1205883,0,1,1,729,62098,10.7 million
High undergraduate,96,281,Denton,TX,,33024,Public,81,University of North Texas,93538,81252,1,0,1,963,150353,30.03 million
Majority undergraduate,322,15,Notre Dame,IN,,8971,Private,13,University of Notre Dame,280604,240324,0,0,1,1265,6479,6.833 million
High undergraduate,328,132,Norman,OK,,21294,Public,73,University of Oklahoma,408656,380048,0,1,1,3326,129627,4.02 million
High undergraduate,214,104,Eugene,OR,,19565,Public,86.3,University of Oregon,160500,139193,1,0,1,295,177923,4.24 million
Majority graduate,241,6,Philadelphia,PA,,9760,Private,6.5,University of Pennsylvania,1791311,1631950,1,1,1,299,1.567 million,12.97 million
Majority undergraduate,335,57,Pittsburgh,PA,,19928,Public,49,University of Pittsburgh,1251998,1135416,1,1,1,146,302898,12.97 million
Majority undergraduate,159,29,Rochester,NY,,6767,Private,38.9,University of Rochester,450805,409255,1,1,0,700,209352,19.68 million
High undergraduate,322,104,Columbia,SC,,27343,Public,64.1,University of South Carolina,229162,215374,1,1,1,444,139698,5.283 millio
High undergraduate,11,104,Tampa,FL,,38046,Public,44,University of South Florida,405166,385965,1,1,0,1646,398173,22.24 million
Majority graduate,147,22,Los Angeles,CA,,20699,Private,12,University of Southern California,1039905,955565,1,1,1,226,3.822 million,39.03 million
High undergraduate,165,352,Hattiesburg,MS,,10258,Public,98.8,University of Southern Mississippi,72477,67417,1,0,0,1090,48455,2.94 million 
Majority undergraduate,186,104,Salt Lake City,UT,,26355,Public,89,University of Utah,670119,624737,1,1,1,1534,204657,3.381 million
Majority undergraduate,328,28,Charlottesville,VA,,17496,Public,18.7,University of Virginia,662658,611313,1,1,1,1682,45373,8.684 million
Majority undergraduate,176,62,Seattle,WA,,36872,Public,47.5,University of Washington,1559708,1488645,1,1,1,634,749256,7.786 million
Majority undergraduate,297,46,Madison,WI,,37230,Public,49.1,University of Wisconsin-Madison,1523513,1380075,1,1,1,936,272903,5.893 million
High undergraduate,291,332,Milwaukee,WI,,18751,Public,95,University of Wisconsin-Milwaukee,56822,55664,1,0,0,277,563305,5.893 million
Very high undergraduate,56,254,Logan,UT,,24835,Public,93.7,Utah State University,344851,325223,1,0,0,450,54680,3.381 million
Majority undergraduate,291,15,Nashville,TN,,7151,Private,6.7,Vanderbilt University,1086223,1019273,1,1,1,333,692587,7.051 million 
High undergraduate,45,162,Richmond,VA,,20958,Public,91,Virginia Commonwealth University,405898,364096,1,1,0,198,229395,8.684 million
High undergraduate,322,74,Blacksburg,VA,,30434,Public,57,Virginia Polytechnic Institute and State University (VTech),591861,542045,1,0,0,2600,45610,8.684 million
High undergraduate,176,166,Pullman,WA,,22612,Public,83.1,Washington State University,368396,357648,0,1,0,1742,32508,7.786 million
Majority undergraduate,381,19,Saint Louis,MO,,8132,Private,11,Washington University in St Louis,1047098,989214,1,1,1,169,286578,6.178 million
Majority undergraduate,125,246,Detroit,MI,,16116,Public,75.3,Wayne State University,242247,235519,1,1,1,190,620376,10.03 million
